MES	CAMPANHA	LINK_PLANILHA
	[CONSERTE O ERRO] Procura-se reprovados | As suas chances continuarão pequenas enquanto estiver do lado errado.	https://docs.google.com/spreadsheets/d/1KECOTG8Yql2ap2tkx-aMKPq5kMBaw0HyY-dACheyMpk/edit?usp=sharing
	1a Turma Estratégica INSS | O plano para conquistar R$ 6 mil por mês estudando 3h por dia	https://docs.google.com/spreadsheets/d/1K4CK6SUmGzrxDbTzxkex7IOxPt0usf70YdhFquER3mI/edit?usp=sharing
	Esquadrão Classe A Receita Federal | O plano imbatível para conquistar salários de até R$ 21 mil em 2022	https://docs.google.com/spreadsheets/d/14an65Xg5IYPmQPBwm1UgwiWxMNN3xoqf_RIKHRsIleE/edit?usp=sharing
	O Jogo da Aprovação TJ MG | Ganhe pelo menos R$ 6 mil/mês (nível médio) com a estratégia que aprova até 90% em Tribunais	https://docs.google.com/spreadsheets/d/1CI4F4TAJtxrMpjSOOFXIRiRGlZfZ0bAwiIoeQ47bKMg/edit?usp=sharing
	Semana das Residências Uni e Multiprofissionais | Como obter diferencial competitivo no mercado ganhando até 4 mil/mês para estudar	https://docs.google.com/spreadsheets/d/1bSMtRYkUbeA8rFhifa8niSbpX9oik7t3-GGJPeMp5uw/edit?usp=sharing
	Esquentou INSS | O que fazer diante do novo pedido de 7.830 vagas	https://docs.google.com/spreadsheets/d/1gd7ncvqzkiZKVaYnwVRq0Sj1HXstwKkMhJ4nSsWoeog/edit?usp=sharing
	FUNIL DE E-MAILS	https://www.google.com/url?q=https://docs.google.com/spreadsheets/d/1UMl_rtEC772KNTgPu8eTLBHpDEq9bciMUi6jJRFCVHE/edit?usp%3Dsharing&sa=D&source=calendar&ust=1651531173240380&usg=AOvVaw3x4qIFLgD2FGZ71xKpQeb2
	Detonando Concursos de Nível Médio | Como conquistar uma das 6 mil vagas com salários de até R$ 10 mil nos próximos 6 meses	https://docs.google.com/spreadsheets/d/17_bTO95YaiN5wlJcVL8KixP2_jRAEFPHhwwDSWp2_g4/edit?usp=sharing
	Vzero PRF 2022 | Aprenda e domine por completo a estratégia usada por 952 aprovados em 2021	https://docs.google.com/spreadsheets/d/14JnLhKpofrs5DmjasC80RDEZqXXekykwM2tszu0324E/edit
	Pós-Edital Turbinado TRT RS | 60 dias para detonar a FCC e conquistar até R$ 12,4 mil/mês	https://docs.google.com/spreadsheets/d/1JCU628QNXz70MbQWnFSpn89qtF4bKNBPbHgAlR8nLro/edit?usp=sharing
	Mapa da Aprovação Receita Federal | Domine o método que aprovou 67% dos Auditores no último concurso e conquiste 21k/mês	https://docs.google.com/spreadsheets/d/1Uk_3I2Z8R5vBY54rHgtjGA6UUJNkjkuXTDSnExr6F7g/edit?usp=sharing
